date,min,max,pm25,q1,q3,stdev,count
2020-08-13T00:00:00.000Z,2.8,10.85,5.75,3.91,7.22,1.88,512
2020-08-14T00:00:00.000Z,3.3,11.82,5.55,4.62,7.72,2.158,467
2020-08-15T00:00:00.000Z,3.33,39.63,8.94,5.9,12.9,6.099,522
2020-08-16T00:00:00.000Z,2.78,11.75,6.07,4.7,7.93,2.119,527
2020-08-17T00:00:00.000Z,2.45,21.67,6.18,4.76,7.46,3.158,521
2020-08-18T00:00:00.000Z,1.77,10.18,4.28,3.35,7.45,2.245,515
2020-08-19T00:00:00.000Z,0.9,6.18,2.27,1.42,3.45,1.215,510
2020-08-20T00:00:00.000Z,1.3,8.18,3.05,2.31,3.71,1.169,517
2020-08-21T00:00:00.000Z,0.82,21.6,2.75,1.7,3.97,1.848,513
2020-08-22T00:00:00.000Z,0.5,8.77,2.42,1.2,4.15,2.021,463
2020-08-23T00:00:00.000Z,1.83,8.52,3.92,3.05,5.43,1.492,490
2020-08-24T00:00:00.000Z,2.12,11.9,4.05,3.22,5.9,1.612,420
2020-08-25T00:00:00.000Z,1.48,6.47,2.97,2.15,4.3,1.237,433
2020-08-26T00:00:00.000Z,1.27,9.05,3.82,2.5,4.95,1.676,446
2020-08-27T00:00:00.000Z,1.3,8.15,3.03,2.5,3.59,0.969,512
2020-08-28T00:00:00.000Z,0.98,7.03,2.22,1.8,2.92,0.898,451
2020-08-29T00:00:00.000Z,1.6,8.63,2.58,2.27,2.92,0.627,462
2020-08-30T00:00:00.000Z,1.48,9.05,3.7,2.67,5.17,1.611,460
2020-08-31T00:00:00.000Z,0.35,5.53,2.08,1.4,3,0.985,453
2020-09-01T00:00:00.000Z,1.65,2.65,2,1.9,2.25,0.291,7
2020-09-02T00:00:00.000Z,0.5,4.84,1.27,0.9,2.25,0.859,312
2020-09-03T00:00:00.000Z,0.6,6.85,1.7,1.08,2.75,0.953,468
2020-09-04T00:00:00.000Z,0.6,4.93,1.73,1.4,2.1,0.71,483
2020-09-05T00:00:00.000Z,0.55,21.25,2.33,1.1,3.24,1.759,477
2020-09-06T00:00:00.000Z,0.43,17.39,2.29,1.2,5.72,4.356,471
2020-09-07T00:00:00.000Z,0.47,4.53,2.2,1.19,2.82,0.984,444
2020-09-08T00:00:00.000Z,1.42,10.15,2.35,1.98,3.1,1.046,378
2020-09-09T00:00:00.000Z,2.72,10.52,5.61,4.75,6.3,1.498,406
2020-09-10T00:00:00.000Z,3.17,12.73,5.32,4.43,8.02,2.149,347
2020-09-11T00:00:00.000Z,3.53,10,6.35,5.7,6.93,0.981,311
2020-09-12T00:00:00.000Z,2.78,11.3,5.85,4.2,7.18,2.041,297
2020-09-13T00:00:00.000Z,6.6,12.68,8.32,7.82,9.19,0.998,362
2020-09-14T00:00:00.000Z,6.1,16,9,8.27,10.6,2.35,298
2020-09-15T00:00:00.000Z,4.43,16.02,7.94,6.4,9.57,2.742,258
2020-09-16T00:00:00.000Z,7.22,14.18,12.52,11.04,12.93,1.663,36
2020-09-17T00:00:00.000Z,6.94,97.05,9.21,8.25,10.88,7.397,150
2020-09-18T00:00:00.000Z,6.9,16.1,8.6,7.97,9.69,1.791,327
2020-09-19T00:00:00.000Z,7.35,26.42,9.3,8.6,10.44,4.184,312
2020-09-20T00:00:00.000Z,7.05,22.7,15.26,10.63,19.25,4.402,242
2020-09-21T00:00:00.000Z,2,27.77,8.16,4.3,21.8,8.729,222
2020-09-22T00:00:00.000Z,1.18,16.32,3.08,2.17,4.99,2.379,337
2020-09-23T00:00:00.000Z,1.1,5.93,2.33,1.8,3.65,1.083,446
2020-09-24T00:00:00.000Z,1.6,7.72,3.9,3.25,4.82,1.178,466
2020-09-25T00:00:00.000Z,1.42,9,3.4,2.62,5.58,1.733,345
2020-09-26T00:00:00.000Z,0.3,6.25,1.5,1,2,0.758,274
